Name,Gender,Height,Education Level,Eye Color,Married,Salary Income,Depressed
Constantia Stirrip,Female,158,Low,Black,Yes,40000000,No
Bell Baudone,Male,155,Intermediate,Black,Yes,149000000,No
Clarice Werrit,Female,175,Low,Black,No,34000000,Yes
Douglass Rosoman,Female,153,Intermediate,Black,Yes,132000000,No
Audy Pacey,Male,142,Intermediate,Blue,Yes,23000000,No
Kris Brumpton,Male,155,Intermediate,Brown,Yes,47000000,Yes
Mellie Celiz,Female,149,Intermediate,Blue,Yes,89000000,No
Renata Louw,Male,146,High,Blue,Yes,132000000,No
Fidole Pond,Female,155,Intermediate,Black,No,47000000,Yes
Geoff Coldham,Female,159,Intermediate,Blue,Yes,46000000,No
Juliette Ailsbury,Female,145,High,Blue,Yes,142000000,No
Paten Klouz,Female,163,Intermediate,Gray,No,58000000,Yes
Martynne Flewan,Male,158,Intermediate,Black,No,42000000,Yes
Jacklin Tripett,Female,181,Intermediate,Gray,No,5000000,Yes
Corella Alishoner,Male,144,High,Blue,Yes,3000000,No
Harriot Vaan,Female,151,High,Black,Yes,143000000,No
Adey Fairbairn,Female,168,High,Blue,Yes,10000000,No
Davey Moggach,Female,166,Intermediate,Gray,Yes,30000000,Yes
Idalia Walbrook,Male,166,Intermediate,Blue,Yes,64000000,No
Alwyn Gallon,Female,142,High,Black,No,150000000,No
Agata Stryde,Female,144,Intermediate,Gray,Yes,61000000,No
Teddie Alejandri,Male,159,High,Black,Yes,58000000,No
Rosalie Benkin,Male,157,High,Blue,Yes,43000000,No
Rip Teresia,Male,151,Low,Brown,No,38000000,Yes
Naomi Ethelstone,Female,157,High,Blue,No,47000000,No
Simonne Durbin,Male,160,Low,Blue,Yes,67000000,No
Brocky Ritchard,Female,151,Intermediate,Brown,No,27000000,Yes
Matthiew Joysey,Female,172,Low,Gray,Yes,66000000,Yes
Raimundo Malt,Male,153,Intermediate,Gray,No,56000000,Yes
Waly Jantel,Female,150,Intermediate,Blue,Yes,35000000,Yes
Shurlock Brockhouse,Female,148,High,Blue,Yes,135000000,No
Barbee Clemenzi,Male,162,High,Blue,No,55000000,No
Anissa Toffano,Male,179,Intermediate,Brown,No,39000000,Yes
Liuka Legan,Male,165,High,Gray,No,51000000,Yes
Rania Close,Female,178,Low,Gray,No,19000000,Yes
Kipp Leader,Male,146,High,Brown,Yes,60000000,Yes
Karyn Fromant,Male,167,Intermediate,Black,No,60000000,Yes
Sondra Perchard,Male,142,High,Black,No,40000000,Yes
Sayres Sandall,Male,175,High,Black,Yes,25000000,Yes
Vergil Walton,Female,148,High,Blue,Yes,53000000,No
Carmen Malenoir,Female,172,High,Brown,No,89000000,No
Garvin Ben-Aharon,Female,153,Low,Black,No,86000000,No
Elysee Weatherley,Female,161,Intermediate,Blue,Yes,98000000,No
Gladys Bartkowiak,Male,159,Intermediate,Gray,No,13000000,No
Gail Toghill,Male,151,Low,Blue,Yes,67000000,No
Cristin Wayland,Male,155,Low,Black,Yes,37000000,Yes
Miof mela Granham,Male,148,Intermediate,Blue,Yes,117000000,No
Adan Chillistone,Male,174,High,Brown,No,80000000,Yes
Bette-ann Monnery,Male,176,Low,Brown,No,40000000,Yes
Evangeline Gilchrest,Male,181,Low,Black,No,79000000,No
Cate Eates,Female,180,Low,Gray,No,1000000,Yes
Livy Orkney,Male,170,High,Gray,No,91000000,Yes
Wilfrid Haggis,Female,174,Intermediate,Brown,Yes,45000000,Yes
Garvy de Clerq,Male,150,Intermediate,Gray,Yes,113000000,No
Nadean Livsey,Male,150,Intermediate,Blue,Yes,130000000,No
Frasquito Gawen,Male,143,Intermediate,Blue,Yes,27000000,No
Leroi Van Geffen,Male,175,High,Brown,No,52000000,No
Lin Holdworth,Female,149,Intermediate,Brown,Yes,115000000,No
Quintina Popland,Female,176,Low,Gray,Yes,58000000,Yes
Alfonse Paddock,Female,150,High,Black,Yes,76000000,No
Findley Minshaw,Female,155,Low,Brown,No,123000000,Yes
Addie Mico,Male,162,High,Gray,No,128000000,Yes
Carri Taberner,Male,167,Intermediate,Blue,Yes,125000000,No
Quincy Jarrold,Female,151,Low,Brown,No,114000000,Yes
Thorndike Franzelini,Male,167,Low,Black,No,32000000,Yes
Mark Gomm,Female,141,Intermediate,Gray,No,1000000,Yes
Magdaia Skedge,Male,148,Intermediate,Gray,Yes,114000000,Yes
Lotty Nevet,Male,170,Intermediate,Blue,No,104000000,Yes
Madlen Lebourn,Male,178,Intermediate,Gray,No,29000000,Yes
Susy Dorr,Male,151,High,Blue,No,18000000,No
Daisie Siddeley,Male,159,Low,Blue,No,134000000,Yes
Jacquette Pimbley,Female,166,Low,Black,No,14000000,Yes
Elton Seely,Female,153,Intermediate,Black,Yes,31000000,No
Danita Larchier,Male,169,Low,Brown,No,128000000,Yes
Carlyn Shimman,Female,168,Low,Gray,Yes,7000000,Yes
Pat Cordelet,Female,163,Low,Black,Yes,51000000,Yes
Adelina Karpman,Female,156,Low,Gray,No,34000000,Yes
Alexis Harkess,Female,173,Intermediate,Blue,Yes,3000000,No
Antoni Thiolier,Male,168,Intermediate,Gray,No,70000000,Yes
Paddy Beswick,Female,172,Intermediate,Brown,No,126000000,Yes
Kingston Haily,Male,146,Intermediate,Brown,Yes,13000000,Yes
Henryetta Lanchberry,Female,154,Intermediate,Blue,Yes,29000000,No
Alon Wistance,Female,175,Intermediate,Gray,No,20000000,Yes
Willi Bignold,Female,172,High,Brown,No,40000000,Yes
Stanley Garbutt,Male,176,Intermediate,Brown,No,94000000,Yes
Birch Knappe,Female,159,High,Blue,Yes,92000000,No
Eddy McDonnell,Male,155,Intermediate,Brown,No,6000000,Yes
Marissa Toombs,Male,171,Intermediate,Black,Yes,87000000,No
Miner Clynmans,Male,181,Intermediate,Gray,Yes,19000000,Yes
Rhys Grattage,Female,178,High,Brown,Yes,97000000,No
Neila Dunbar,Male,157,Intermediate,Black,Yes,116000000,No
Corrie Slimon,Male,159,Intermediate,Brown,Yes,101000000,No
Enid Rittmeyer,Male,157,High,Blue,Yes,8000000,No
Lee De Giorgis,Male,158,High,Brown,No,59000000,Yes
Emory Ruppel,Male,162,High,Brown,No,16000000,Yes
Jeth Simester,Female,150,High,Blue,No,56000000,Yes
Kessia MacPhail,Female,168,Low,Black,No,19000000,No
Gothart Jaulme,Female,141,Low,Black,No,42000000,Yes
Alexa Lowy,Female,148,High,Brown,Yes,73000000,No
Tammi Cissen,Female,151,Intermediate,Gray,No,31000000,Yes
Reiko Legister,Female,165,High,Blue,No,50000000,No
Stefan Trinbey,Female,167,Intermediate,Black,No,31000000,Yes
Hedvige Woolard,Female,155,High,Blue,Yes,57000000,No
Catharina Conew,Female,170,Intermediate,Blue,No,50000000,No
Brigit Wynrahame,Male,156,Intermediate,Gray,No,132000000,Yes
Cyndi Britney,Male,146,Intermediate,Gray,Yes,65000000,No
Linnet Celez,Male,167,Intermediate,Brown,No,13000000,Yes
Millard Dellatorre,Male,143,High,Black,Yes,46000000,No
Matilda Cornfield,Male,167,Intermediate,Black,Yes,89000000,No
Chrissy Kentish,Male,155,Intermediate,Black,Yes,5000000,No
Christin Zecchii,Male,167,Intermediate,Blue,No,36000000,Yes
Bradley Galsworthy,Male,172,Intermediate,Black,No,72000000,Yes
Leola Start,Male,163,Intermediate,Brown,No,33000000,Yes
Wallas McCunn,Female,142,High,Blue,Yes,119000000,No
Conan Judson,Male,141,Intermediate,Brown,No,59000000,Yes
Anitra Biasetti,Male,147,Intermediate,Gray,No,90000000,Yes
Lyn Agastina,Male,172,Low,Blue,No,143000000,Yes
Reed Treasaden,Female,143,High,Black,Yes,97000000,No
Cletus Brickell,Female,182,Intermediate,Gray,No,31000000,Yes
Raven Peirpoint,Male,159,Low,Black,No,11000000,Yes
Chery Bebis,Male,143,High,Blue,Yes,39000000,Yes
Loreen Oldrey,Female,161,Low,Brown,No,54000000,Yes
Leandra Byas,Male,166,Low,Brown,No,19000000,Yes
Kaine Neilson,Male,185,High,Black,Yes,80000000,Yes
Hamnet Maben,Male,153,High,Brown,Yes,121000000,No
Annetta Riha,Female,170,Intermediate,Gray,No,31000000,Yes
Jerrilyn Antonijevic,Female,162,Intermediate,Blue,Yes,104000000,No
Edmon Bagguley,Male,182,Low,Blue,Yes,123000000,No
Whittaker Simpkiss,Female,158,High,Blue,No,68000000,No
Rusty Britland,Male,176,High,Black,Yes,19000000,No
Jana Vella,Female,184,Intermediate,Brown,No,7000000,Yes
Valma Flori,Male,182,Low,Gray,No,133000000,Yes
Stacey Hawkslee,Female,185,Intermediate,Gray,Yes,29000000,Yes
Ignazio Mangion,Female,163,High,Black,Yes,1000000,Yes
Kit Nollet,Female,168,Intermediate,Gray,Yes,6000000,Yes
Jillana Lavelle,Male,164,Low,Blue,Yes,53000000,No
Quincy Stanman,Female,165,Low,Black,Yes,39000000,No
Stacee Lammerts,Female,144,Low,Blue,Yes,120000000,Yes
Fletcher Druett,Female,151,High,Black,Yes,139000000,No
Clary McNellis,Male,150,High,Blue,No,48000000,No
Salaidh Horley,Male,158,High,Brown,No,57000000,Yes
Brendis MacCrackan,Female,161,Low,Gray,No,56000000,Yes
Kirby Brok,Female,170,Intermediate,Gray,Yes,18000000,Yes
Pall Sergeant,Male,183,High,Black,Yes,94000000,No
Merry O'Crigane,Female,153,Intermediate,Gray,No,150000000,Yes
Phaedra Padly,Female,157,High,Blue,No,26000000,No
Nertie Scramage,Male,168,High,Gray,Yes,63000000,No
Drake Gurden,Male,144,Intermediate,Gray,Yes,124000000,No
Daphene Roffey,Male,157,Intermediate,Gray,No,8000000,Yes
Linnie Rallin,Male,164,High,Blue,Yes,36000000,No
Dasha Causby,Male,162,High,Blue,Yes,56000000,No
Millard Daubney,Male,152,Low,Brown,Yes,49000000,Yes
Cam Allden,Female,160,High,Blue,Yes,45000000,No
Ronald Matusson,Female,151,Intermediate,Blue,Yes,127000000,No
Eirena Brixham,Female,145,Low,Black,Yes,21000000,No
Pavla Sline,Female,150,Intermediate,Black,No,59000000,No
Janessa De Benedictis,Female,153,High,Brown,Yes,97000000,No
Lucienne McKinty,Female,162,Intermediate,Blue,Yes,12000000,No
Brandy Dimblebee,Female,165,High,Blue,Yes,37000000,No
Malva Truggian,Male,146,Intermediate,Blue,No,41000000,Yes
Linda Calkin,Male,153,High,Gray,Yes,24000000,Yes
Reiko Ruppel,Female,157,High,Brown,No,114000000,Yes
Maggee Elvins,Male,165,Intermediate,Blue,Yes,61000000,No
Marti Farquhar,Male,163,High,Gray,No,149000000,No
Lesley Tweedell,Female,165,Low,Brown,Yes,55000000,Yes
Marylinda Djorvic,Female,178,High,Brown,No,86000000,Yes
Daffi Endicott,Male,169,Low,Blue,Yes,59000000,Yes
Bibbye Londer,Female,160,High,Black,No,47000000,No
Sheba Sprigings,Male,151,Low,Gray,No,103000000,No
Noelle Sperry,Female,143,Intermediate,Brown,No,46000000,Yes
Thomasina Blackbourn,Female,142,High,Black,Yes,137000000,No
Marnia Fitzsymon,Female,169,Intermediate,Gray,Yes,46000000,No
Evangelina Chelley,Female,160,Low,Brown,No,65000000,Yes
Millisent Snaith,Male,151,High,Blue,Yes,67000000,No
Kevyn Banker,Female,154,Intermediate,Black,No,59000000,No
Lisabeth Cota,Female,142,Intermediate,Brown,No,5000000,Yes
Asia Harcarse,Female,152,Low,Blue,No,45000000,Yes
Ingaberg Cancellor,Female,149,Low,Blue,Yes,123000000,No
Yuri Playle,Male,169,Low,Brown,Yes,69000000,Yes
Olivero Kenealy,Male,162,High,Blue,No,16000000,Yes
Carlye Thexton,Male,158,High,Black,Yes,112000000,No
Elfreda Thwaites,Male,154,Intermediate,Gray,No,141000000,Yes
Stacy Couzens,Female,165,Intermediate,Blue,No,45000000,No
Yasmin Tomkiss,Male,168,High,Gray,No,44000000,Yes
Susann Tout,Female,165,Intermediate,Black,Yes,93000000,No
Daveta Wetheril,Male,174,Intermediate,Brown,Yes,84000000,No
Deanne Tevelov,Male,158,Low,Black,Yes,135000000,No
Jared Howling,Female,164,Intermediate,Black,Yes,60000000,No
Izak Strother,Female,144,Intermediate,Black,Yes,132000000,No
Domingo Edelheid,Female,156,High,Black,No,22000000,No
Edgar Taverner,Male,156,Low,Gray,No,83000000,Yes
Fara Wayte,Female,163,Intermediate,Blue,No,143000000,No
Bill Patrone,Female,152,Low,Black,Yes,8000000,Yes
Jeremie Scamerden,Female,164,High,Brown,No,99000000,No
Fremont McPheat,Female,164,Low,Blue,Yes,101000000,No
Lyndsey Kienzle,Female,160,Low,Brown,No,43000000,Yes
Minne Colly,Female,164,High,Blue,Yes,103000000,No
Darya Streight,Male,151,Intermediate,Gray,No,20000000,Yes
Kermit Whillock,Male,169,Intermediate,Brown,No,52000000,No
Jewell Primo,Male,159,Intermediate,Blue,No,13000000,Yes
Libbi Lauridsen,Female,158,Low,Brown,Yes,20000000,No
Grazia Hannigane,Female,148,Intermediate,Blue,Yes,128000000,No
Prue Creedland,Female,140,Low,Blue,Yes,5000000,No
Daisie Ness,Male,145,High,Gray,No,102000000,No
Maximilian Ickovic,Male,176,Low,Gray,No,50000000,Yes
Dosi Dolle,Female,179,Intermediate,Brown,No,17000000,No
Tybi Naish,Male,157,Intermediate,Gray,No,43000000,Yes
Elia Leckenby,Female,158,Low,Brown,Yes,17000000,Yes
Mellisa Becconsall,Male,170,Low,Gray,No,58000000,Yes
Vikky Barense,Female,173,Intermediate,Gray,No,41000000,Yes
Babbette Shieldon,Female,149,High,Blue,No,44000000,No
Lucienne Samme,Male,149,High,Gray,Yes,145000000,No
Tad Belsham,Female,148,High,Black,Yes,44000000,No
Marilee Yakobowitz,Female,163,Low,Black,Yes,145000000,No
Gannon Wevell,Male,163,High,Blue,Yes,64000000,No
Rutherford Kleen,Male,166,Low,Brown,No,36000000,Yes
Wait Dagon,Female,170,Low,Gray,No,148000000,Yes
Temple Gealle,Male,174,Low,Black,Yes,147000000,No
Eldredge Batchellor,Male,179,Intermediate,Gray,No,1000000,Yes
Lanette McPhater,Male,148,Intermediate,Gray,Yes,38000000,No
Gualterio Elliss,Male,156,Low,Brown,No,12000000,Yes
Teodoro Moulding,Male,150,Intermediate,Brown,Yes,40000000,No
Almeta Philippou,Male,150,Low,Black,No,19000000,Yes
Pascal Giovani,Female,182,Intermediate,Gray,Yes,90000000,No
Missy Yokelman,Male,151,Intermediate,Black,Yes,88000000,No
Bathsheba Ruddock,Female,164,Intermediate,Black,No,34000000,Yes
Gabriello Gratton,Female,159,High,Black,Yes,83000000,No
Elana Drewson,Male,179,Low,Gray,No,17000000,Yes
Leeland Lowdeane,Male,150,Low,Blue,Yes,18000000,Yes
Salvidor Frean,Female,145,Low,Black,Yes,147000000,No
Jelene Parcell,Male,164,Low,Gray,Yes,66000000,Yes
Jeremiah Pourveer,Male,184,Low,Brown,No,20000000,Yes
Gennifer Stobbe,Male,152,Low,Blue,No,17000000,Yes
Salvatore Summerfield,Male,153,Intermediate,Black,Yes,72000000,No
Lorraine Tortice,Female,162,Low,Brown,No,30000000,Yes
Gussie Klammt,Male,159,High,Black,Yes,28000000,No
Daile Goodman,Male,141,Intermediate,Brown,Yes,72000000,No
Emlynne Kemmet,Female,163,High,Black,Yes,93000000,No
Brynne Snailham,Female,161,Intermediate,Black,Yes,28000000,No
Hailey Sarver,Male,153,Intermediate,Blue,Yes,94000000,No
Camile Waghorne,Female,159,Intermediate,Gray,No,48000000,Yes
Dennison Breeder,Female,154,Low,Brown,No,5000000,Yes
Ruthi Woolam,Female,152,Intermediate,Blue,Yes,75000000,No
Brewer Hargey,Male,151,Intermediate,Black,No,25000000,No
Marillin Spragg,Female,145,Low,Gray,Yes,139000000,No
Averyl Clawley,Male,162,High,Black,No,8000000,No
Cristy Gilbane,Male,184,High,Black,Yes,99000000,No
Emelita Zorzin,Female,144,Intermediate,Brown,No,70000000,Yes
Noelyn Erangey,Male,153,Intermediate,Gray,No,31000000,Yes
Alon Lidgertwood,Female,156,Intermediate,Gray,No,91000000,No
Jennifer Cattrell,Male,159,High,Brown,No,40000000,Yes
Kacy Dobey,Female,175,Intermediate,Gray,No,27000000,Yes
Florian Cupper,Male,158,Intermediate,Brown,No,19000000,Yes
Grace Teck,Male,151,Intermediate,Gray,No,13000000,Yes
Hastings Starton,Male,167,Intermediate,Blue,No,17000000,Yes
Rubin Gresty,Male,153,Intermediate,Gray,Yes,20000000,Yes
Issi Lies,Male,159,Intermediate,Blue,Yes,50000000,No
Simona Alforde,Female,162,Low,Brown,Yes,25000000,Yes
Bibi Eagan,Male,177,Intermediate,Blue,No,54000000,Yes
Iormina De Filippis,Female,162,Intermediate,Black,Yes,15000000,No
Sibylla Broschke,Female,160,Intermediate,Blue,Yes,53000000,No
Thor Boler,Female,163,Intermediate,Gray,Yes,136000000,No
Selina Bezley,Male,178,High,Brown,No,12000000,No
Rab Spurdens,Female,167,Intermediate,Gray,No,41000000,Yes
Georgy Arrington,Female,149,Intermediate,Blue,Yes,144000000,No
Sheri Flude,Female,151,High,Blue,Yes,150000000,No
Tom Wilcot,Male,168,Low,Brown,Yes,146000000,Yes
Tina Tuffley,Female,175,Intermediate,Brown,No,49000000,Yes
Ulrika Blayd,Female,185,Low,Gray,No,60000000,Yes
Jessica Giacubbo,Female,169,Intermediate,Gray,No,41000000,Yes
Conan Clitherow,Female,152,Intermediate,Black,No,60000000,No
Cobbie Georgi,Male,142,Low,Brown,No,82000000,Yes
Chris Bolsover,Female,158,High,Blue,Yes,70000000,No
Mason Gulleford,Male,168,Intermediate,Gray,Yes,73000000,No
Shep Barstowk,Female,159,Intermediate,Black,No,33000000,Yes
Lancelot Lindgren,Male,162,Low,Black,Yes,120000000,No
Kay Hargrove,Female,159,High,Black,Yes,38000000,No
Nessi Sinnock,Male,185,Low,Brown,No,9000000,Yes
Shirline Lovejoy,Female,156,Low,Gray,No,109000000,Yes
Sephira Ruddlesden,Male,161,Low,Black,Yes,45000000,Yes
Pru Moggan,Female,166,Intermediate,Brown,No,16000000,Yes
Anstice Shepton,Male,179,High,Blue,No,54000000,Yes
Adey Balsillie,Female,160,Intermediate,Black,No,130000000,No
Anna-diana Boman,Male,169,Low,Gray,No,14000000,Yes
Sarette Plank,Male,158,High,Blue,Yes,25000000,No
Remus Cheales,Female,154,Low,Brown,Yes,16000000,Yes
Gayle Mathonnet,Female,143,Intermediate,Black,No,80000000,No
Darill Luesley,Female,165,Low,Brown,No,55000000,No
Adena McAnalley,Male,177,Intermediate,Brown,Yes,49000000,No
Trula Sibly,Female,164,Low,Brown,Yes,74000000,No
Anthia Clausner,Male,141,Intermediate,Gray,No,16000000,Yes
Almire Proby,Female,150,Intermediate,Brown,No,48000000,Yes
Bryanty Spoward,Male,172,Intermediate,Brown,No,5000000,Yes
Donny Coleyshaw,Female,173,High,Blue,Yes,71000000,No
Brenn Curtois,Male,145,Intermediate,Blue,Yes,66000000,No
Erie Boise,Female,144,High,Gray,Yes,57000000,No
Armin Halpeine,Female,177,Low,Brown,No,58000000,Yes
Josepha Silman,Female,161,High,Gray,Yes,6000000,No
Noel Luigi,Male,149,Intermediate,Black,Yes,87000000,No
Bonni Deetch,Female,158,Intermediate,Blue,Yes,15000000,No
Lind Agirre,Female,163,Low,Black,No,93000000,No
Bentlee Speck,Female,151,High,Blue,Yes,51000000,No
Josefina Burgoine,Male,165,Intermediate,Blue,Yes,44000000,No
Jereme Eckels,Female,161,High,Blue,Yes,39000000,No
Tobias Simonou,Female,170,Intermediate,Brown,No,40000000,Yes
Wes Rowlands,Female,142,High,Blue,Yes,17000000,No
Elsie Ivancevic,Female,160,Intermediate,Gray,Yes,24000000,No
Livy Mocker,Female,153,Intermediate,Black,Yes,121000000,No
Kelwin Oxborough,Female,164,Intermediate,Black,Yes,76000000,No
Norris Garvie,Female,171,Low,Brown,No,58000000,Yes
Gilbert North,Male,148,High,Brown,Yes,35000000,Yes
Muhammad Roddell,Male,170,Low,Blue,No,11000000,Yes
Rozamond McNamara,Female,177,Intermediate,Blue,Yes,58000000,No
Bebe Slane,Male,178,Low,Brown,Yes,40000000,No
Helsa Claige,Male,169,Low,Black,Yes,75000000,No
Abbot Creamer,Male,145,Low,Brown,No,7000000,Yes
Flory Milnthorpe,Male,169,Intermediate,Blue,No,111000000,Yes
Pearla Dy,Female,154,Intermediate,Black,Yes,136000000,No
Nobie Sidnall,Female,183,High,Gray,No,38000000,Yes
Johnna Bauduin,Female,164,Low,Brown,No,80000000,No
Rolland Dripp,Female,169,Low,Blue,Yes,146000000,No
Arnuad Dalgardno,Male,163,Intermediate,Brown,No,82000000,No
Marshall Derington,Female,157,High,Blue,Yes,100000000,No
Garrott Tidbald,Female,144,Intermediate,Brown,No,56000000,Yes
Rozamond Antat,Male,159,Intermediate,Blue,Yes,58000000,No
Betti Peron,Female,147,High,Black,No,60000000,Yes
Tiler Worge,Male,157,High,Gray,Yes,48000000,Yes
Ashby Abeau,Male,165,High,Gray,Yes,140000000,No
Joann Tiptaft,Male,154,Intermediate,Blue,Yes,146000000,No
Adena Cashford,Male,161,Low,Brown,No,45000000,Yes
Jacynth Ralls,Male,153,High,Blue,No,129000000,No
Brigg Scudder,Male,161,Intermediate,Black,No,66000000,No
Gilles Salsbury,Female,144,High,Blue,Yes,49000000,No
Standford Braemer,Female,161,Low,Brown,No,46000000,Yes
Norean McBratney,Male,170,Intermediate,Black,No,11000000,Yes
Eirena Eichmann,Female,162,Intermediate,Gray,No,22000000,Yes
Carmela Nys,Female,158,Low,Black,Yes,130000000,No
Pepi Base,Male,173,Intermediate,Brown,Yes,29000000,Yes
Sonja Clift,Male,161,High,Blue,Yes,120000000,No
Krystle Wincott,Male,146,Intermediate,Black,Yes,57000000,No
Jeannie Bourhill,Male,153,Low,Brown,No,56000000,Yes
Vaughn Kirlin,Male,147,High,Black,No,23000000,No
Ava McCadden,Female,151,Low,Brown,No,8000000,Yes
Peder Fitzsymonds,Female,163,Intermediate,Brown,Yes,77000000,No
Hana Vater,Female,161,High,Black,Yes,50000000,No
Dena Bertlin,Male,176,Low,Black,No,141000000,No
Francisco Nelane,Male,162,High,Blue,No,31000000,Yes
Godwin Marikhin,Female,160,High,Blue,No,19000000,No
Obediah Redfield,Female,182,Intermediate,Black,Yes,62000000,No
Elmer Titchen,Female,162,Intermediate,Brown,No,32000000,Yes
Norbie Flux,Female,150,Intermediate,Gray,No,51000000,Yes
Kissiah Prinne,Male,141,Intermediate,Gray,No,53000000,Yes
Thaddus Chilver,Female,154,Intermediate,Brown,No,49000000,Yes
Carlota Amaya,Male,148,Low,Blue,No,34000000,Yes
Hetty Datte,Female,179,Intermediate,Blue,No,10000000,Yes
Quinn Willatt,Female,170,Intermediate,Black,No,26000000,Yes
Tedra Storres,Male,179,Low,Brown,No,4000000,Yes
Bernard Fridaye,Female,172,Intermediate,Gray,No,16000000,Yes
Helenka Benzies,Male,142,Low,Blue,Yes,73000000,No
Myra Korneichuk,Female,161,High,Black,Yes,84000000,No
Carmelita Overill,Male,153,Low,Black,Yes,44000000,Yes
Jaquith Cracie,Male,152,Intermediate,Black,Yes,68000000,No
Vance Petrulis,Male,147,Intermediate,Blue,Yes,48000000,No
Patti Pickwell,Male,145,Intermediate,Black,Yes,49000000,No
Windy Camel,Male,148,Intermediate,Black,Yes,130000000,No
Kelli Gooddie,Female,173,Intermediate,Gray,No,47000000,Yes
Efrem Dominy,Female,165,Intermediate,Brown,No,50000000,Yes
Enrichetta Fawbert,Female,156,High,Black,Yes,49000000,No
Jaquelyn Sorley,Female,184,Low,Blue,No,35000000,Yes
Symon Domerq,Female,141,High,Gray,No,36000000,Yes
Krisha Iliffe,Female,154,High,Black,Yes,150000000,No
Laurice Baily,Female,151,Intermediate,Black,No,50000000,No
Seumas Mallison,Female,178,Low,Gray,No,40000000,Yes
Julie Gofforth,Female,141,Intermediate,Black,Yes,54000000,No
Carlotta Joselin,Female,154,Low,Black,Yes,8000000,No
Yettie Tolputt,Female,181,Intermediate,Brown,No,52000000,Yes
Kesley Triplow,Male,154,Intermediate,Gray,Yes,54000000,Yes
Ulrica Parlet,Female,172,Intermediate,Black,Yes,44000000,No
Cristen Britee,Female,169,Intermediate,Brown,No,39000000,Yes
Parke Cordel,Female,158,High,Brown,No,137000000,No
Lauri Kennewell,Female,154,High,Blue,Yes,43000000,No
Koralle Vlasenkov,Female,160,High,Black,Yes,111000000,No
Garreth Glenn,Female,184,Low,Gray,No,113000000,Yes
Lilli Aiken,Female,163,High,Blue,Yes,47000000,No
Nolly Harcarse,Male,155,Intermediate,Gray,No,28000000,Yes
